,VILLE,REVENU FISCAL DE RÉFÉRENCE,TAUX DE CHÔMAGE,BÉNÉFICIAIRES DU RSA,Salaires mensuels nets moyens,Pourcentage de salariés en CDI,Nombres d'entreprises,ISF moyen par foyer nc,Bénéficiaires de la CAF,Population
3357,"<td><a href=""https://www.linternaute.com/ville/chatenoy-le-royal/ville-71118"">Châtenoy-le-Royal</a></td>",<td>26 847 €</td>,"<td>11,72 %</td>","<td>1,94 %</td>","<td>2 202,19 €</td>","<td>86,98 %</td>",<td>349 entreprises</td>,<td>nc</td>,"<td>16,93 %</td>",<td>6 153 hab.</td>
3358,"<td><a href=""https://www.linternaute.com/ville/chiry-ourscamp/ville-60150"">Chiry-Ourscamp</a></td>",<td>23 692 €</td>,"<td>14,31 %</td>","<td>2,56 %</td>",<td>nc</td>,"<td>85,65 %</td>",<td>54 entreprises</td>,<td>nc</td>,"<td>16,34 %</td>",<td>1 209 hab.</td>
3359,"<td><a href=""https://www.linternaute.com/ville/ferrieres-en-bray/ville-76260"">Ferrières-en-Bray</a></td>",<td>23 021 €</td>,"<td>13,17 %</td>","<td>1,79 %</td>",<td>nc</td>,"<td>84,94 %</td>",<td>82 entreprises</td>,<td>nc</td>,"<td>14,93 %</td>",<td>1 674 hab.</td>
3360,"<td><a href=""https://www.linternaute.com/ville/gujan-mestras/ville-33199"">Gujan-Mestras</a></td>",<td>30 270 €</td>,"<td>13,40 %</td>","<td>1,85 %</td>","<td>2 413,32 €</td>","<td>85,75 %</td>",<td>2 099 entreprises</td>,<td>7 007 €</td>,"<td>16,20 %</td>",<td>21 543 hab.</td>
3361,"<td><a href=""https://www.linternaute.com/ville/notre-dame-de-monts/ville-85164"">Notre-Dame-de-Monts</a></td>",<td>24 843 €</td>,"<td>15,08 %</td>","<td>1,26 %</td>","<td>2 108,74 €</td>","<td>81,95 %</td>",<td>201 entreprises</td>,<td>nc</td>,"<td>14,89 %</td>",<td>2 143 hab.</td>
3362,"<td><a href=""https://www.linternaute.com/ville/verdelais/ville-33543"">Verdelais</a></td>",<td>21 088 €</td>,"<td>10,27 %</td>","<td>1,86 %</td>",<td>nc</td>,"<td>77,86 %</td>",<td>66 entreprises</td>,<td>nc</td>,"<td>18,53 %</td>",<td>1 026 hab.</td>
3363,"<td><a href=""https://www.linternaute.com/ville/saint-pierre-quiberon/ville-56234"">Saint-Pierre-Quiberon</a></td>",<td>29 430 €</td>,"<td>18,16 %</td>","<td>2,33 %</td>","<td>2 086,30 €</td>","<td>83,75 %</td>",<td>234 entreprises</td>,<td>nc</td>,"<td>15,37 %</td>",<td>2 056 hab.</td>
3364,"<td><a href=""https://www.linternaute.com/ville/sannois/ville-95582"">Sannois</a></td>",<td>30 558 €</td>,"<td>12,53 %</td>","<td>3,29 %</td>","<td>2 712,50 €</td>","<td>88,92 %</td>",<td>2 329 entreprises</td>,<td>8 445 €</td>,"<td>20,15 %</td>",<td>26 484 hab.</td>
3365,"<td><a href=""https://www.linternaute.com/ville/bandol/ville-83009"">Bandol</a></td>",<td>35 363 €</td>,"<td>15,94 %</td>","<td>2,94 %</td>","<td>2 556,66 €</td>","<td>86,27 %</td>",<td>1 560 entreprises</td>,<td>nc</td>,"<td>19,35 %</td>",<td>8 404 hab.</td>
3366,"<td><a href=""https://www.linternaute.com/ville/chantepie/ville-35055"">Chantepie</a></td>",<td>29 683 €</td>,"<td>9,71 %</td>","<td>2,04 %</td>","<td>2 434,96 €</td>","<td>83,64 %</td>",<td>707 entreprises</td>,<td>nc</td>,"<td>21,76 %</td>",<td>10 458 hab.</td>
3367,"<td><a href=""https://www.linternaute.com/ville/corneilhan/ville-34084"">Corneilhan</a></td>",<td>25 270 €</td>,"<td>12,18 %</td>","<td>2,20 %</td>",<td>nc</td>,"<td>83,39 %</td>",<td>125 entreprises</td>,<td>nc</td>,"<td>16,18 %</td>",<td>1 721 hab.</td>
3368,"<td><a href=""https://www.linternaute.com/ville/echillais/ville-17146"">Échillais</a></td>",<td>26 554 €</td>,"<td>10,79 %</td>","<td>1,58 %</td>","<td>2 071,32 €</td>","<td>87,01 %</td>",<td>194 entreprises</td>,<td>nc</td>,"<td>22,16 %</td>",<td>3 546 hab.</td>
3369,"<td><a href=""https://www.linternaute.com/ville/le-puy-notre-dame/ville-49253"">Le Puy-Notre-Dame</a></td>",<td>22 324 €</td>,"<td>15,26 %</td>","<td>1,35 %</td>",<td>nc</td>,"<td>76,72 %</td>",<td>73 entreprises</td>,<td>nc</td>,"<td>14,76 %</td>",<td>1 188 hab.</td>
3370,"<td><a href=""https://www.linternaute.com/ville/leffrinckoucke/ville-59340"">Leffrinckoucke</a></td>",<td>28 651 €</td>,"<td>16,86 %</td>","<td>2,64 %</td>","<td>2 585,10 €</td>","<td>87,53 %</td>",<td>166 entreprises</td>,<td>nc</td>,"<td>16,78 %</td>",<td>4 255 hab.</td>
3371,"<td><a href=""https://www.linternaute.com/ville/peyrat-le-chateau/ville-87117"">Peyrat-le-Château</a></td>",<td>18 609 €</td>,"<td>13,32 %</td>","<td>3,02 %</td>",<td>nc</td>,"<td>84,42 %</td>",<td>83 entreprises</td>,<td>nc</td>,"<td>11,88 %</td>",<td>1 021 hab.</td>
3372,"<td><a href=""https://www.linternaute.com/ville/sarras/ville-07308"">Sarras</a></td>",<td>23 633 €</td>,"<td>10,24 %</td>","<td>1,53 %</td>","<td>2 087,42 €</td>","<td>83,84 %</td>",<td>127 entreprises</td>,<td>nc</td>,"<td>16,88 %</td>",<td>2 213 hab.</td>
3373,"<td><a href=""https://www.linternaute.com/ville/beauquesne/ville-80070"">Beauquesne</a></td>",<td>24 458 €</td>,"<td>10,60 %</td>","<td>2,49 %</td>",<td>nc</td>,"<td>83,60 %</td>",<td>52 entreprises</td>,<td>nc</td>,"<td>18,34 %</td>",<td>1 318 hab.</td>
3374,"<td><a href=""https://www.linternaute.com/ville/boulazac-isle-manoire/ville-24053"">Boulazac Isle Manoire</a></td>",<td>27 096 €</td>,"<td>11,26 %</td>","<td>1,56 %</td>","<td>2 107,77 €</td>","<td>87,39 %</td>",<td>812 entreprises</td>,<td>nc</td>,"<td>17,62 %</td>",<td>10 725 hab.</td>
3375,"<td><a href=""https://www.linternaute.com/ville/fourques/ville-66084"">Fourques</a></td>",<td>23 483 €</td>,"<td>12,30 %</td>","<td>1,98 %</td>",<td>nc</td>,"<td>85,71 %</td>",<td>77 entreprises</td>,<td>nc</td>,"<td>20,82 %</td>",<td>1 296 hab.</td>
3376,"<td><a href=""https://www.linternaute.com/ville/rumilly-en-cambresis/ville-59520"">Rumilly-en-Cambrésis</a></td>",<td>25 863 €</td>,"<td>12,77 %</td>","<td>2,51 %</td>",<td>nc</td>,"<td>80,67 %</td>",<td>62 entreprises</td>,<td>nc</td>,"<td>14,69 %</td>",<td>1 444 hab.</td>
3377,"<td><a href=""https://www.linternaute.com/ville/gargas/ville-84047"">Gargas</a></td>",<td>24 996 €</td>,"<td>14,99 %</td>","<td>1,10 %</td>","<td>2 002,36 €</td>","<td>84,15 %</td>",<td>233 entreprises</td>,<td>nc</td>,"<td>13,58 %</td>",<td>3 061 hab.</td>
3378,"<td><a href=""https://www.linternaute.com/ville/neuvy-sur-loire/ville-58193"">Neuvy-sur-Loire</a></td>",<td>23 595 €</td>,"<td>15,73 %</td>","<td>2,06 %</td>",<td>nc</td>,"<td>86,33 %</td>",<td>75 entreprises</td>,<td>nc</td>,"<td>15,67 %</td>",<td>1 423 hab.</td>
3379,"<td><a href=""https://www.linternaute.com/ville/saint-germain-les-arpajon/ville-91552"">Saint-Germain-lès-Arpajon</a></td>",<td>28 390 €</td>,"<td>11,51 %</td>","<td>2,83 %</td>","<td>2 519,55 €</td>","<td>88,38 %</td>",<td>611 entreprises</td>,<td>nc</td>,"<td>19,32 %</td>",<td>10 877 hab.</td>
3380,"<td><a href=""https://www.linternaute.com/ville/wittelsheim/ville-68375"">Wittelsheim</a></td>",<td>26 795 €</td>,"<td>11,74 %</td>","<td>1,60 %</td>","<td>2 123,50 €</td>","<td>87,31 %</td>",<td>643 entreprises</td>,<td>nc</td>,"<td>16,46 %</td>",<td>10 341 hab.</td>
3381,"<td><a href=""https://www.linternaute.com/ville/amou/ville-40002"">Amou</a></td>",<td>22 428 €</td>,"<td>12,02 %</td>","<td>1,53 %</td>",<td>nc</td>,"<td>76,26 %</td>",<td>102 entreprises</td>,<td>nc</td>,"<td>13,32 %</td>",<td>1 550 hab.</td>
3382,"<td><a href=""https://www.linternaute.com/ville/arinthod/ville-39016"">Arinthod</a></td>",<td>21 350 €</td>,"<td>11,36 %</td>","<td>1,46 %</td>",<td>nc</td>,"<td>77,59 %</td>",<td>90 entreprises</td>,<td>nc</td>,"<td>18,46 %</td>",<td>1 103 hab.</td>
3383,"<td><a href=""https://www.linternaute.com/ville/cartignies/ville-59134"">Cartignies</a></td>",<td>23 153 €</td>,"<td>13,22 %</td>","<td>2,73 %</td>",<td>nc</td>,"<td>85,37 %</td>",<td>50 entreprises</td>,<td>nc</td>,"<td>14,93 %</td>",<td>1 245 hab.</td>
3384,"<td><a href=""https://www.linternaute.com/ville/fresnes/ville-94034"">Fresnes</a></td>",<td>28 515 €</td>,"<td>10,20 %</td>","<td>2,63 %</td>","<td>2 625,37 €</td>","<td>86,65 %</td>",<td>1 632 entreprises</td>,<td>8 550 €</td>,"<td>18,07 %</td>",<td>28 230 hab.</td>
3385,"<td><a href=""https://www.linternaute.com/ville/gleize/ville-69092"">Gleizé</a></td>",<td>29 928 €</td>,"<td>13,14 %</td>","<td>2,20 %</td>","<td>2 546,42 €</td>","<td>86,10 %</td>",<td>669 entreprises</td>,<td>nc</td>,"<td>18,85 %</td>",<td>7 470 hab.</td>
3386,"<td><a href=""https://www.linternaute.com/ville/le-langon/ville-85121"">Le Langon</a></td>",<td>21 614 €</td>,"<td>13,73 %</td>","<td>1,61 %</td>",<td>nc</td>,"<td>79,94 %</td>",<td>56 entreprises</td>,<td>nc</td>,"<td>16,11 %</td>",<td>1 011 hab.</td>
3387,"<td><a href=""https://www.linternaute.com/ville/savigny-sur-orge/ville-91589"">Savigny-sur-Orge</a></td>",<td>31 199 €</td>,"<td>11,42 %</td>","<td>2,44 %</td>","<td>2 706,74 €</td>","<td>86,80 %</td>",<td>2 853 entreprises</td>,<td>6 318 €</td>,"<td>18,64 %</td>",<td>36 734 hab.</td>
3388,"<td><a href=""https://www.linternaute.com/ville/beaulieu-sur-loire/ville-45029"">Beaulieu-sur-Loire</a></td>",<td>23 746 €</td>,"<td>13,78 %</td>","<td>2,12 %</td>",<td>nc</td>,"<td>87,11 %</td>",<td>86 entreprises</td>,<td>nc</td>,"<td>15,37 %</td>",<td>1 793 hab.</td>
3389,"<td><a href=""https://www.linternaute.com/ville/corbere-les-cabanes/ville-66056"">Corbère-les-Cabanes</a></td>",<td>23 933 €</td>,"<td>14,92 %</td>","<td>2,19 %</td>",<td>nc</td>,"<td>83,11 %</td>",<td>70 entreprises</td>,<td>nc</td>,"<td>17,18 %</td>",<td>1 056 hab.</td>
3390,"<td><a href=""https://www.linternaute.com/ville/licques/ville-62506"">Licques</a></td>",<td>22 304 €</td>,"<td>13,32 %</td>","<td>1,42 %</td>",<td>nc</td>,"<td>84,85 %</td>",<td>100 entreprises</td>,<td>nc</td>,"<td>16,18 %</td>",<td>1 631 hab.</td>
3391,"<td><a href=""https://www.linternaute.com/ville/lorp-sentaraille/ville-09289"">Lorp-Sentaraille</a></td>",<td>22 801 €</td>,"<td>12,04 %</td>","<td>2,28 %</td>",<td>nc</td>,<td>85 %</td>,<td>120 entreprises</td>,<td>nc</td>,"<td>15,69 %</td>",<td>1 477 hab.</td>
3392,"<td><a href=""https://www.linternaute.com/ville/mauze-sur-le-mignon/ville-79170"">Mauzé-sur-le-Mignon</a></td>",<td>23 375 €</td>,"<td>12,15 %</td>","<td>1,04 %</td>","<td>2 116,28 €</td>","<td>86,08 %</td>",<td>181 entreprises</td>,<td>nc</td>,"<td>18,68 %</td>",<td>2 848 hab.</td>
3393,"<td><a href=""https://www.linternaute.com/ville/montmorot/ville-39362"">Montmorot</a></td>",<td>25 322 €</td>,"<td>10,02 %</td>","<td>1,20 %</td>","<td>2 132,72 €</td>","<td>81,51 %</td>",<td>229 entreprises</td>,<td>nc</td>,"<td>18,95 %</td>",<td>3 055 hab.</td>
3394,"<td><a href=""https://www.linternaute.com/ville/rieux/ville-56194"">Rieux</a></td>",<td>24 403 €</td>,"<td>10,17 %</td>","<td>1,29 %</td>","<td>2 035,99 €</td>","<td>83,76 %</td>",<td>129 entreprises</td>,<td>nc</td>,"<td>16,47 %</td>",<td>2 855 hab.</td>
3395,"<td><a href=""https://www.linternaute.com/ville/saint-germain-du-bois/ville-71419"">Saint-Germain-du-Bois</a></td>",<td>21 929 €</td>,"<td>11,50 %</td>","<td>1,69 %</td>",<td>nc</td>,"<td>85,37 %</td>",<td>158 entreprises</td>,<td>nc</td>,"<td>15,99 %</td>",<td>1 888 hab.</td>
3396,"<td><a href=""https://www.linternaute.com/ville/vergeze/ville-30344"">Vergèze</a></td>",<td>27 328 €</td>,"<td>11,66 %</td>","<td>2,07 %</td>","<td>2 308,43 €</td>","<td>87,13 %</td>",<td>432 entreprises</td>,<td>nc</td>,"<td>19,16 %</td>",<td>5 243 hab.</td>
3397,"<td><a href=""https://www.linternaute.com/ville/verniolle/ville-09332"">Verniolle</a></td>",<td>25 316 €</td>,"<td>11,98 %</td>","<td>1,95 %</td>","<td>2 159,30 €</td>","<td>84,27 %</td>",<td>203 entreprises</td>,<td>nc</td>,"<td>16,07 %</td>",<td>2 274 hab.</td>
3398,"<td><a href=""https://www.linternaute.com/ville/verquigneul/ville-62847"">Verquigneul</a></td>",<td>28 397 €</td>,"<td>15,46 %</td>","<td>2,18 %</td>",<td>nc</td>,"<td>82,53 %</td>",<td>80 entreprises</td>,<td>nc</td>,"<td>13,97 %</td>",<td>1 974 hab.</td>
3399,"<td><a href=""https://www.linternaute.com/ville/artigues-pres-bordeaux/ville-33013"">Artigues-près-Bordeaux</a></td>",<td>28 172 €</td>,"<td>10,51 %</td>","<td>2,60 %</td>","<td>2 299,97 €</td>","<td>87,47 %</td>",<td>965 entreprises</td>,<td>nc</td>,"<td>18,82 %</td>",<td>8 648 hab.</td>
3400,"<td><a href=""https://www.linternaute.com/ville/cloyes-les-trois-rivieres/ville-28103"">Cloyes-les-Trois-Rivières</a></td>",<td>25 328 €</td>,"<td>10,80 %</td>","<td>1,57 %</td>","<td>2 123,25 €</td>","<td>84,88 %</td>",<td>297 entreprises</td>,<td>nc</td>,"<td>14,06 %</td>",<td>5 651 hab.</td>
3401,"<td><a href=""https://www.linternaute.com/ville/feugarolles/ville-47097"">Feugarolles</a></td>",<td>20 545 €</td>,"<td>13,23 %</td>","<td>1,88 %</td>",<td>nc</td>,"<td>74,84 %</td>",<td>68 entreprises</td>,<td>nc</td>,"<td>13,37 %</td>",<td>1 001 hab.</td>
3402,"<td><a href=""https://www.linternaute.com/ville/gasny/ville-27279"">Gasny</a></td>",<td>25 955 €</td>,"<td>13,80 %</td>","<td>2,06 %</td>","<td>2 327,87 €</td>","<td>87,34 %</td>",<td>177 entreprises</td>,<td>nc</td>,"<td>17,14 %</td>",<td>3 065 hab.</td>
3403,"<td><a href=""https://www.linternaute.com/ville/jumilhac-le-grand/ville-24218"">Jumilhac-le-Grand</a></td>",<td>20 471 €</td>,"<td>15,20 %</td>","<td>2,38 %</td>",<td>nc</td>,"<td>85,52 %</td>",<td>113 entreprises</td>,<td>nc</td>,"<td>12,26 %</td>",<td>1 207 hab.</td>
3404,"<td><a href=""https://www.linternaute.com/ville/le-gavre/ville-44062"">Le Gâvre</a></td>",<td>22 302 €</td>,"<td>10,77 %</td>","<td>1,37 %</td>",<td>nc</td>,"<td>85,80 %</td>",<td>83 entreprises</td>,<td>nc</td>,"<td>19,55 %</td>",<td>1 813 hab.</td>
3405,"<td><a href=""https://www.linternaute.com/ville/ondres/ville-40209"">Ondres</a></td>",<td>28 927 €</td>,"<td>11,93 %</td>","<td>1,85 %</td>","<td>2 313,66 €</td>","<td>85,15 %</td>",<td>378 entreprises</td>,<td>nc</td>,"<td>19,17 %</td>",<td>5 356 hab.</td>
3406,"<td><a href=""https://www.linternaute.com/ville/saulce-sur-rhone/ville-26337"">Saulce-sur-Rhône</a></td>",<td>23 628 €</td>,"<td>11,80 %</td>","<td>1,52 %</td>",<td>nc</td>,"<td>83,62 %</td>",<td>172 entreprises</td>,<td>nc</td>,"<td>17,03 %</td>",<td>1 849 hab.</td>
3407,"<td><a href=""https://www.linternaute.com/ville/wavrin/ville-59653"">Wavrin</a></td>",<td>28 002 €</td>,<td>11 %</td>,"<td>2,42 %</td>","<td>2 323,22 €</td>","<td>87,58 %</td>",<td>436 entreprises</td>,<td>nc</td>,"<td>18,80 %</td>",<td>7 723 hab.</td>
3408,"<td><a href=""https://www.linternaute.com/ville/availles-limouzine/ville-86015"">Availles-Limouzine</a></td>",<td>19 206 €</td>,"<td>7,95 %</td>","<td>3,54 %</td>",<td>nc</td>,"<td>82,32 %</td>",<td>118 entreprises</td>,<td>nc</td>,"<td>15,51 %</td>",<td>1 256 hab.</td>
3409,"<td><a href=""https://www.linternaute.com/ville/bairon-et-ses-environs/ville-08116"">Bairon et ses environs</a></td>",<td>20 925 €</td>,"<td>14,39 %</td>","<td>1,67 %</td>",<td>nc</td>,"<td>85,12 %</td>",<td>64 entreprises</td>,<td>nc</td>,"<td>18,12 %</td>",<td>1 025 hab.</td>
3410,"<td><a href=""https://www.linternaute.com/ville/damparis/ville-39189"">Damparis</a></td>",<td>24 822 €</td>,"<td>9,46 %</td>","<td>1,64 %</td>","<td>2 211,99 €</td>","<td>84,40 %</td>",<td>118 entreprises</td>,<td>nc</td>,"<td>19,78 %</td>",<td>2 662 hab.</td>
3411,"<td><a href=""https://www.linternaute.com/ville/guimiliau/ville-29074"">Guimiliau</a></td>",<td>22 337 €</td>,<td>12 %</td>,"<td>2,38 %</td>",<td>nc</td>,"<td>82,82 %</td>",<td>37 entreprises</td>,<td>nc</td>,"<td>16,96 %</td>",<td>1 007 hab.</td>
3412,"<td><a href=""https://www.linternaute.com/ville/le-fousseret/ville-31193"">Le Fousseret</a></td>",<td>22 969 €</td>,"<td>9,22 %</td>","<td>1,89 %</td>",<td>nc</td>,"<td>83,03 %</td>",<td>170 entreprises</td>,<td>nc</td>,"<td>17,33 %</td>",<td>1 896 hab.</td>
3413,"<td><a href=""https://www.linternaute.com/ville/luneray/ville-76400"">Luneray</a></td>",<td>24 506 €</td>,"<td>11,95 %</td>","<td>1,38 %</td>","<td>1 979,85 €</td>","<td>84,05 %</td>",<td>158 entreprises</td>,<td>nc</td>,"<td>15,44 %</td>",<td>2 190 hab.</td>
3414,"<td><a href=""https://www.linternaute.com/ville/noaillan/ville-33307"">Noaillan</a></td>",<td>24 718 €</td>,"<td>13,19 %</td>","<td>1,73 %</td>",<td>nc</td>,"<td>83,47 %</td>",<td>118 entreprises</td>,<td>nc</td>,"<td>16,29 %</td>",<td>1 682 hab.</td>
3415,"<td><a href=""https://www.linternaute.com/ville/perros-guirec/ville-22168"">Perros-Guirec</a></td>",<td>30 476 €</td>,"<td>15,32 %</td>","<td>1,88 %</td>","<td>2 583,23 €</td>","<td>83,37 %</td>",<td>654 entreprises</td>,<td>nc</td>,"<td>15,87 %</td>",<td>7 065 hab.</td>
3416,"<td><a href=""https://www.linternaute.com/ville/colombes/ville-92025"">Colombes</a></td>",<td>33 577 €</td>,"<td>13,01 %</td>","<td>3,25 %</td>","<td>3 177,58 €</td>","<td>88,18 %</td>",<td>7 769 entreprises</td>,<td>8 001 €</td>,"<td>21,35 %</td>",<td>86 052 hab.</td>
3417,"<td><a href=""https://www.linternaute.com/ville/saint-alban/ville-31467"">Saint-Alban</a></td>",<td>26 177 €</td>,"<td>9,83 %</td>","<td>2,22 %</td>","<td>2 276,16 €</td>","<td>88,20 %</td>",<td>645 entreprises</td>,<td>nc</td>,"<td>22,42 %</td>",<td>6 183 hab.</td>
3418,"<td><a href=""https://www.linternaute.com/ville/semussac/ville-17425"">Semussac</a></td>",<td>24 246 €</td>,"<td>10,92 %</td>","<td>1,70 %</td>","<td>1 907,30 €</td>","<td>85,13 %</td>",<td>196 entreprises</td>,<td>nc</td>,"<td>14,43 %</td>",<td>2 379 hab.</td>
3419,"<td><a href=""https://www.linternaute.com/ville/villefranche-d-allier/ville-03315"">Villefranche-d'Allier</a></td>",<td>21 199 €</td>,"<td>11,44 %</td>","<td>1,95 %</td>",<td>nc</td>,"<td>83,94 %</td>",<td>68 entreprises</td>,<td>nc</td>,"<td>15,12 %</td>",<td>1 305 hab.</td>
3420,"<td><a href=""https://www.linternaute.com/ville/yffiniac/ville-22389"">Yffiniac</a></td>",<td>26 503 €</td>,"<td>9,79 %</td>","<td>1,36 %</td>","<td>2 052,20 €</td>","<td>85,08 %</td>",<td>360 entreprises</td>,<td>nc</td>,"<td>19,48 %</td>",<td>5 000 hab.</td>
3421,"<td><a href=""https://www.linternaute.com/ville/ferney-voltaire/ville-01160"">Ferney-Voltaire</a></td>",<td>37 482 €</td>,"<td>13,59 %</td>","<td>1,79 %</td>","<td>1 977,03 €</td>","<td>78,13 %</td>",<td>763 entreprises</td>,<td>nc</td>,"<td>10,96 %</td>",<td>9 895 hab.</td>
3422,"<td><a href=""https://www.linternaute.com/ville/le-castellet/ville-83035"">Le Castellet</a></td>",<td>30 366 €</td>,"<td>11,98 %</td>","<td>4,21 %</td>","<td>2 405,50 €</td>","<td>87,44 %</td>",<td>684 entreprises</td>,<td>nc</td>,"<td>26,41 %</td>",<td>3 887 hab.</td>
3423,"<td><a href=""https://www.linternaute.com/ville/le-rheu/ville-35240"">Le Rheu</a></td>",<td>30 885 €</td>,"<td>10,90 %</td>","<td>1,78 %</td>","<td>2 415,41 €</td>","<td>83,52 %</td>",<td>636 entreprises</td>,<td>nc</td>,"<td>22,54 %</td>",<td>8 914 hab.</td>
3424,"<td><a href=""https://www.linternaute.com/ville/lere/ville-18125"">Léré</a></td>",<td>23 846 €</td>,"<td>16,22 %</td>","<td>3,60 %</td>",<td>nc</td>,"<td>87,34 %</td>",<td>56 entreprises</td>,<td>nc</td>,"<td>16,91 %</td>",<td>1 083 hab.</td>
3425,"<td><a href=""https://www.linternaute.com/ville/mornas/ville-84083"">Mornas</a></td>",<td>26 468 €</td>,"<td>13,12 %</td>","<td>2,09 %</td>","<td>2 318,25 €</td>","<td>84,14 %</td>",<td>199 entreprises</td>,<td>nc</td>,"<td>16,61 %</td>",<td>2 420 hab.</td>
3426,"<td><a href=""https://www.linternaute.com/ville/plouec-du-trieux/ville-22212"">Plouëc-du-Trieux</a></td>",<td>21 919 €</td>,"<td>12,78 %</td>","<td>1,84 %</td>",<td>nc</td>,"<td>82,83 %</td>",<td>52 entreprises</td>,<td>nc</td>,"<td>15,79 %</td>",<td>1 137 hab.</td>
3427,"<td><a href=""https://www.linternaute.com/ville/pontailler-sur-saone/ville-21496"">Pontailler-sur-Saône</a></td>",<td>22 565 €</td>,"<td>13,30 %</td>","<td>1,54 %</td>",<td>nc</td>,"<td>85,53 %</td>",<td>90 entreprises</td>,<td>nc</td>,"<td>20,22 %</td>",<td>1 302 hab.</td>
3428,"<td><a href=""https://www.linternaute.com/ville/saint-privat-des-vieux/ville-30294"">Saint-Privat-des-Vieux</a></td>",<td>29 433 €</td>,"<td>13,15 %</td>","<td>2,09 %</td>","<td>2 148,72 €</td>","<td>87,51 %</td>",<td>371 entreprises</td>,<td>nc</td>,"<td>17,97 %</td>",<td>5 218 hab.</td>
3429,"<td><a href=""https://www.linternaute.com/ville/villeneuve-tolosane/ville-31588"">Villeneuve-Tolosane</a></td>",<td>28 073 €</td>,"<td>11,04 %</td>","<td>2,12 %</td>","<td>2 416,21 €</td>","<td>87,77 %</td>",<td>641 entreprises</td>,<td>nc</td>,"<td>20,99 %</td>",<td>9 987 hab.</td>
3430,"<td><a href=""https://www.linternaute.com/ville/arneke/ville-59018"">Arnèke</a></td>",<td>22 565 €</td>,"<td>12,13 %</td>","<td>1,40 %</td>",<td>nc</td>,"<td>84,42 %</td>",<td>89 entreprises</td>,<td>nc</td>,"<td>17,13 %</td>",<td>1 594 hab.</td>
3431,"<td><a href=""https://www.linternaute.com/ville/beaupreau-en-mauges/ville-49023"">Beaupréau-en-Mauges</a></td>",<td>24 418 €</td>,"<td>8,66 %</td>","<td>0,80 %</td>","<td>1 987,52 €</td>","<td>84,38 %</td>",<td>1 136 entreprises</td>,<td>nc</td>,"<td>17,49 %</td>",<td>23 407 hab.</td>
3432,"<td><a href=""https://www.linternaute.com/ville/broons/ville-22020"">Broons</a></td>",<td>21 994 €</td>,"<td>8,29 %</td>","<td>1,21 %</td>","<td>2 017,46 €</td>","<td>83,81 %</td>",<td>156 entreprises</td>,<td>nc</td>,"<td>16,78 %</td>",<td>2 894 hab.</td>
3433,"<td><a href=""https://www.linternaute.com/ville/genelard/ville-71212"">Génelard</a></td>",<td>22 766 €</td>,"<td>12,16 %</td>","<td>2,60 %</td>",<td>nc</td>,"<td>87,14 %</td>",<td>86 entreprises</td>,<td>nc</td>,"<td>17,23 %</td>",<td>1 380 hab.</td>
3434,"<td><a href=""https://www.linternaute.com/ville/passais-villages/ville-61324"">Passais Villages</a></td>",<td>20 525 €</td>,"<td>12,06 %</td>","<td>2,07 %</td>",<td>nc</td>,"<td>81,42 %</td>",<td>80 entreprises</td>,<td>nc</td>,"<td>11,62 %</td>",<td>1 176 hab.</td>
3435,"<td><a href=""https://www.linternaute.com/ville/rouhling/ville-57598"">Rouhling</a></td>",<td>24 570 €</td>,<td>12 %</td>,"<td>2,14 %</td>","<td>2 134,50 €</td>","<td>88,70 %</td>",<td>55 entreprises</td>,<td>nc</td>,"<td>18,10 %</td>",<td>2 033 hab.</td>
3436,"<td><a href=""https://www.linternaute.com/ville/saint-agnant/ville-17308"">Saint-Agnant</a></td>",<td>24 968 €</td>,"<td>10,98 %</td>","<td>1,63 %</td>","<td>2 034,36 €</td>","<td>85,63 %</td>",<td>155 entreprises</td>,<td>nc</td>,"<td>16,26 %</td>",<td>2 691 hab.</td>
3437,"<td><a href=""https://www.linternaute.com/ville/usson-du-poitou/ville-86276"">Usson-du-Poitou</a></td>",<td>19 226 €</td>,"<td>13,84 %</td>",<td>2 %</td>,<td>nc</td>,"<td>87,77 %</td>",<td>94 entreprises</td>,<td>nc</td>,"<td>15,91 %</td>",<td>1 257 hab.</td>
3438,"<td><a href=""https://www.linternaute.com/ville/argent-sur-sauldre/ville-18011"">Argent-sur-Sauldre</a></td>",<td>22 588 €</td>,"<td>11,92 %</td>","<td>1,45 %</td>","<td>2 000,77 €</td>","<td>86,99 %</td>",<td>109 entreprises</td>,<td>nc</td>,"<td>15,56 %</td>",<td>2 082 hab.</td>
3439,"<td><a href=""https://www.linternaute.com/ville/brehan/ville-56024"">Bréhan</a></td>",<td>23 116 €</td>,"<td>9,31 %</td>","<td>1,53 %</td>","<td>2 033,90 €</td>","<td>85,39 %</td>",<td>115 entreprises</td>,<td>nc</td>,"<td>17,52 %</td>",<td>2 297 hab.</td>
3440,"<td><a href=""https://www.linternaute.com/ville/plougonven/ville-29191"">Plougonven</a></td>",<td>24 572 €</td>,"<td>11,33 %</td>","<td>1,22 %</td>","<td>2 017,63 €</td>","<td>84,82 %</td>",<td>146 entreprises</td>,<td>nc</td>,"<td>14,88 %</td>",<td>3 477 hab.</td>
